time,I
0.028546,3029.07
0.129867,3031.98
0.230986,3031.98
0.331514,3033.91
0.433909,3032.95
0.535059,3032.95
0.636501,3039.73
0.736676,3038.76
0.837768,3038.76
0.939073,3035.85
1.039862,3034.88
1.141490,3034.88
1.241563,3032.95
1.343070,3029.07
1.444427,3029.07
1.545882,3029.07
1.646841,3032.95
1.747959,3032.95
1.849647,3026.16
1.950898,3028.10
2.052639,3028.10
2.155800,3031.98
2.257086,3025.19
2.374051,3027.13
2.475312,3027.13
2.576517,3031.01
2.677194,3033.91
2.778118,3033.91
2.879581,3040.70
2.981816,3037.79
3.083580,3037.79
3.184031,3036.82
3.285819,3034.88
3.387467,3034.88
3.488771,3037.79
3.590800,3034.88
3.692587,3034.88
3.793387,3034.88
3.893819,3034.88
3.994824,3034.88
4.095832,3039.73
4.197595,3035.85
4.298798,3035.85
4.399751,3033.91
4.500802,3035.85
4.603268,3035.85
4.703749,3032.95
4.805145,3038.76
4.905398,3037.79
5.006451,3037.79
5.107012,3038.76
5.223447,3035.85
5.324585,3035.85
5.425045,3034.88
5.540330,3043.60
5.641377,3043.60
5.742189,3039.73
5.843291,3037.79
5.944475,3037.79
6.045364,3035.85
6.145574,3039.73
6.247250,3039.73
6.347734,3037.79
6.449865,3037.79
6.551719,3037.79
6.651576,3036.82
6.752529,3031.98
6.853525,3036.82
6.953774,3036.82
7.055459,3033.91
7.155971,3031.98
7.257752,3031.98
7.359218,3031.98
7.460057,3031.98
7.564061,3031.98
7.665803,3040.70
7.772779,3037.79
7.874974,3037.79
7.976230,3039.73
8.077233,3038.76
8.177874,3038.76
8.279840,3042.64
8.381942,3041.67
8.482845,3041.67
8.583521,3038.76
8.684389,3036.82
8.785220,3036.82
8.885746,3033.91
8.986563,3033.91
9.087023,3033.91
9.187208,3031.98
9.288624,3028.10
9.391598,3028.10
9.492658,3024.22
9.593494,3020.35
9.695403,3020.35
9.797721,3022.29
