time,I
0.035386,41.67
0.135737,41.67
0.236510,41.67
0.336638,41.67
0.438409,41.67
0.539026,41.67
0.640449,42.64
0.741061,42.64
0.842575,41.67
0.944250,42.64
1.044414,41.67
1.144640,41.67
1.245958,42.64
1.346933,41.67
1.447515,41.67
1.549271,41.67
1.649481,42.64
1.751246,42.64
1.852119,41.67
1.953591,41.67
2.054955,41.67
2.156289,42.64
2.266427,41.67
2.366827,41.67
2.469105,41.67
2.571057,41.67
2.672244,41.67
2.773893,41.67
2.875926,41.67
2.977075,41.67
3.078319,42.64
3.178945,41.67
3.280537,41.67
3.382623,41.67
3.484311,41.67
3.585067,41.67
3.685902,42.64
3.787062,41.67
3.887875,41.67
3.988691,41.67
4.090438,41.67
4.190959,41.67
4.292324,42.64
4.393197,41.67
4.494063,41.67
4.595479,41.67
4.697000,42.64
4.798454,42.64
4.900718,42.64
5.002582,42.64
5.103722,41.67
5.204794,41.67
5.305971,41.67
5.406543,42.64
5.508388,42.64
5.608610,41.67
5.709981,41.67
5.810874,41.67
5.912255,41.67
6.013489,41.67
6.115569,41.67
6.218591,41.67
6.320941,41.67
6.422269,41.67
6.522641,42.64
6.623727,42.64
6.725380,42.64
6.826180,41.67
6.926567,41.67
7.028170,41.67
7.128923,41.67
7.230059,41.67
7.331320,41.67
7.432136,42.64
7.532762,42.64
7.634090,42.64
7.735931,42.64
7.836727,42.64
7.938393,42.64
8.039199,41.67
8.140004,42.64
8.241295,42.64
8.342247,41.67
8.443176,42.64
8.544087,42.64
8.644880,42.64
8.746453,42.64
8.846842,41.67
8.947981,41.67
9.048641,41.67
9.150283,42.64
9.251278,42.64
9.352223,42.64
9.452870,42.64
9.553971,42.64
9.654974,41.67
9.756079,42.64
9.856626,42.64
9.957914,42.64
10.059891,42.64
10.162346,42.64
10.262697,41.67
