time,I
0.032235,9.69
0.133072,9.69
0.234127,9.69
0.335399,9.69
0.435920,9.69
0.535986,9.69
0.637947,8.72
0.739105,9.69
0.839580,8.72
0.940812,8.72
1.044244,9.69
1.145441,9.69
1.246522,9.69
1.347473,9.69
1.448982,9.69
1.550935,9.69
1.651477,9.69
1.753328,9.69
1.855349,9.69
1.957093,9.69
2.058609,9.69
2.160089,9.69
2.261506,9.69
2.364905,8.72
2.467191,8.72
2.568886,9.69
2.673587,8.72
2.776223,8.72
2.877682,8.72
2.978132,9.69
3.079484,9.69
3.181082,9.69
3.282717,9.69
3.384580,9.69
3.485906,8.72
3.586611,9.69
3.688120,9.69
3.789874,9.69
3.891481,9.69
3.992725,9.69
4.093837,9.69
4.195139,9.69
4.296633,9.69
4.397553,9.69
4.499278,8.72
4.600829,9.69
4.704157,9.69
4.805587,9.69
4.906721,9.69
5.006841,9.69
5.107964,9.69
5.210208,9.69
5.313133,9.69
5.414755,9.69
5.515476,9.69
5.616940,9.69
5.720285,9.69
5.821206,9.69
5.922576,9.69
6.023122,9.69
6.124160,9.69
6.225893,9.69
6.326756,9.69
6.427499,9.69
6.528270,9.69
6.630702,9.69
6.731557,9.69
6.833162,9.69
6.934893,9.69
7.036028,9.69
7.136864,9.69
7.239114,9.69
7.340798,9.69
7.441337,9.69
7.544056,9.69
7.646009,9.69
7.757458,8.72
7.858753,8.72
7.959835,9.69
8.060510,9.69
8.161431,9.69
8.264279,9.69
8.365816,9.69
8.466746,9.69
8.567780,9.69
8.668932,9.69
8.770961,9.69
8.872304,9.69
8.973692,9.69
9.074778,9.69
9.175595,9.69
9.276697,9.69
9.378127,9.69
9.479325,9.69
9.580365,9.69
9.681306,9.69
9.782570,9.69
9.883911,9.69
9.985211,9.69
10.085909,8.72
10.186816,9.69
10.288470,9.69
10.389837,9.69
10.490322,9.69
10.591968,9.69
10.694352,9.69
10.795559,9.69
10.896382,9.69
10.997444,9.69
11.099993,8.72
11.205200,9.69
11.306909,9.69
11.408454,9.69
11.509630,9.69
11.610593,9.69
11.711964,9.69
11.814108,9.69
11.915750,9.69
12.016885,9.69
12.117100,9.69
12.218081,9.69
12.319467,9.69
12.421172,9.69
12.522861,9.69
12.624338,8.72
12.725176,9.69
12.827795,9.69
12.928877,9.69
13.029012,9.69
13.130638,9.69
13.232573,9.69
13.333674,9.69
13.435372,9.69
13.537083,9.69
13.639370,9.69
13.739809,8.72
13.840158,8.72
13.941836,8.72
14.042903,9.69
14.144114,9.69
14.245212,8.72
14.347708,8.72
14.448643,8.72
14.549578,8.72
14.660546,9.69
14.761430,9.69
14.861984,8.72
14.963662,9.69
15.065129,9.69
15.167794,9.69
15.268545,9.69
15.369846,9.69
15.472362,9.69
15.574070,9.69
15.675556,9.69
15.776558,9.69
15.877663,8.72
15.978774,8.72
16.080024,9.69
16.179748,9.69
16.280100,9.69
16.381769,9.69
16.483082,9.69
16.584274,9.69
16.685794,9.69
16.786712,8.72
16.887277,8.72
16.989353,9.69
17.090848,9.69
17.191249,9.69
17.293257,9.69
17.394288,8.72
17.510288,9.69
17.611044,9.69
17.712347,9.69
17.815043,9.69
17.916601,9.69
18.017327,9.69
18.118103,8.72
18.219880,8.72
18.320708,9.69
18.420988,9.69
18.522850,9.69
18.623698,8.72
18.724593,9.69
18.825291,9.69
18.926913,9.69
19.026872,8.72
19.127161,8.72
19.227327,8.72
19.328517,9.69
19.431214,9.69
19.534244,8.72
19.636129,8.72
19.738166,9.69
19.838858,9.69
19.939599,9.69
20.040348,8.72
20.141951,8.72
20.242792,9.69
