time,I
0.055832,32.95
0.156756,32.95
0.258298,32.95
0.358713,32.95
0.461059,32.95
0.562419,32.95
0.663545,32.95
0.764734,32.95
0.865700,32.95
0.966623,32.95
1.067229,32.95
1.168793,32.95
1.270332,32.95
1.371453,32.95
1.473358,32.95
1.574659,32.95
1.675669,32.95
1.776670,32.95
1.877070,32.95
1.979148,32.95
2.079970,32.95
2.182337,32.95
2.283637,32.95
2.384831,32.95
2.485877,32.95
2.589270,32.95
2.691333,32.95
2.792577,32.95
2.893322,32.95
2.995054,32.95
3.097536,32.95
3.198810,32.95
3.299582,32.95
3.399880,32.95
3.500878,32.95
3.602737,32.95
3.704765,32.95
3.806486,32.95
3.907285,32.95
4.009253,32.95
4.110547,32.95
4.211560,32.95
4.312502,32.95
4.413641,32.95
4.514141,32.95
4.615715,32.95
4.716606,32.95
4.817979,32.95
4.919831,32.95
5.022887,32.95
5.125066,32.95
5.227225,32.95
5.329116,32.95
5.430532,32.95
5.530871,32.95
5.632039,32.95
5.733307,32.95
5.833962,32.95
5.936069,32.95
6.037489,32.95
6.137672,32.95
6.240132,32.95
6.341450,32.95
6.441811,32.95
6.543920,32.95
6.644076,32.95
6.745179,32.95
6.846343,32.95
6.948053,32.95
7.049513,32.95
7.150342,32.95
7.251493,32.95
7.352576,32.95
7.453700,32.95
7.554351,32.95
7.655995,32.95
7.756210,32.95
7.857577,32.95
7.958311,32.95
8.059325,32.95
8.159830,32.95
8.261700,32.95
8.363093,32.95
8.464178,32.95
8.565131,32.95
8.666849,32.95
8.768827,32.95
8.869943,32.95
8.971692,32.95
9.073444,32.95
9.175856,32.95
9.276998,32.95
9.378011,32.95
9.479018,32.95
9.580760,32.95
9.681346,32.95
9.783248,32.95
9.886127,32.95
9.987411,32.95
10.088667,32.95
10.190015,32.95
10.291126,32.95
10.392422,32.95
10.494031,32.95
10.595672,32.95
10.696013,32.95
10.797944,32.95
10.898248,32.95
